Trial Number,Background,Foreground,Completion Time,Answer Correct,True Answer,Subject Answer
1,255,0,2.6226043701171875e-06,0,-3,1000000
1,42,212,2.86102294921875e-06,0,1,1000000
1,85,170,5.0067901611328125e-06,0,-1,1000000
1,212,42,4.291534423828125e-06,0,1,1000000
1,0,255,3.5762786865234375e-06,0,10,1000000
1,170,85,3.814697265625e-06,0,2,1000000
2,255,0,3.0994415283203125e-06,0,3,1000000
2,0,255,3.337860107421875e-06,0,7,1000000
2,85,170,3.814697265625e-06,0,6,1000000
2,212,42,3.5762786865234375e-06,0,-1,1000000
2,170,85,4.0531158447265625e-06,0,-1,1000000
2,42,212,3.337860107421875e-06,0,-1,1000000
3,255,0,2.86102294921875e-06,0,-1,1000000
3,42,212,3.5762786865234375e-06,0,-1,1000000
3,85,170,3.814697265625e-06,0,-1,1000000
3,0,255,3.337860107421875e-06,0,-1,1000000
3,212,42,3.814697265625e-06,0,-1,1000000
3,170,85,3.5762786865234375e-06,0,-1,1000000
